fitness,num_div,each_div,coverage
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8757142857142857
dsa,1,1000,0.82
dsa,1,1000,0.8657142857142858
dsa,1,1000,0.8757142857142857
dsa,1,1000,0.8714285714285714
dsa,1,1000,0.82
dsa,1,1000,0.8828571428571429
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8457142857142858
dsa,1,1000,0.8457142857142858
dsa,1,1000,0.8828571428571429
dsa,1,1000,0.8657142857142858
dsa,1,1000,0.8471428571428572
dsa,1,1000,0.8685714285714285
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8457142857142858
dsa,1,1000,0.8471428571428572
dsa,1,1000,0.82
dsa,1,1000,0.8471428571428572
dsa,1,1000,0.8457142857142858
dsa,1,1000,0.8714285714285714
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8714285714285714
dsa,1,1000,0.8614285714285714
dsa,1,1000,0.8828571428571429
dsa,1,1000,0.82
dsa,1,1000,0.8828571428571429
dsa,1,1000,0.8457142857142858
dsa,2,500,0.8628571428571429
dsa,2,500,0.8428571428571429
dsa,2,500,0.8671428571428571
dsa,2,500,0.87
dsa,2,500,0.8771428571428571
dsa,2,500,0.8671428571428571
dsa,2,500,0.8614285714285714
dsa,2,500,0.8742857142857143
dsa,2,500,0.8428571428571429
dsa,2,500,0.8785714285714286
dsa,2,500,0.8585714285714285
dsa,2,500,0.8742857142857143
dsa,2,500,0.8771428571428571
dsa,2,500,0.86
dsa,2,500,0.8542857142857143
dsa,2,500,0.8642857142857143
dsa,2,500,0.8457142857142858
dsa,2,500,0.8785714285714286
dsa,2,500,0.8442857142857143
dsa,2,500,0.88
dsa,2,500,0.8457142857142858
dsa,2,500,0.8671428571428571
dsa,2,500,0.8714285714285714
dsa,2,500,0.8785714285714286
dsa,2,500,0.8385714285714285
dsa,2,500,0.8485714285714285
dsa,2,500,0.8814285714285715
dsa,2,500,0.8757142857142857
dsa,2,500,0.8742857142857143
