,model,choosed num,nc 0.75_corr,nc 0.75_p,kmnc 10_corr,kmnc 10_p,snac NONE_corr,snac NONE_p,nbc NONE_corr,nbc NONE_p,tknc 1_corr,tknc 1_p,dsa 10_corr,dsa 10_p,dsa 1000_corr,dsa 1000_p,lsa 10_corr,lsa 10_p,lsa 1000_corr,lsa 1000_p,idc 6_corr,idc 6_p,idc 8_corr,idc 8_p
0,leNet_1,50,0.06670682259869831,0.24938022727704737,0.14798729922109544,0.010268264096625476,-0.10353814574496009,0.0733475227772374,-0.01629021225967448,0.7787138545663996,0.0064021870571129786,0.9120704732613186,0.5490069213373784,5.138762100123137e-25,0.43197368429895977,4.551276799862059e-15,0.33973156668492427,1.5377138380213813e-09,0.283186645146888,6.135127422145848e-07,-0.029654115399954238,0.6089361253002985,-0.029654115399954238,0.6089361253002985
1,leNet_1,100,nan,nan,0.27040616230968484,2.0056396240815833e-06,-0.009658821072500526,0.8676838736458048,-0.010269161398749642,0.859406885891413,-0.03708073436559393,0.5223052221419916,0.4307704290579549,5.518709390409087e-15,0.3211686089012689,1.2625540046805344e-08,0.4357729756358082,2.464023161499977e-15,0.3302300085371343,4.597743620178284e-09,0.043847230469419025,0.4492596925565984,0.043847230469419025,0.4492596925565984
2,leNet_1,150,nan,nan,0.24590438794256841,1.649347781798073e-05,0.05792278504050573,0.31735718723131057,0.06626450253765673,0.252540109201966,0.04758828657884665,0.4114880947292717,0.34294399491217425,1.0528585594165891e-09,0.2849084460663241,5.206251694832799e-07,0.36633770123419535,5.843478247866053e-11,0.13912409032259718,0.015892349599207985,-0.021774413049625005,0.7072038942228724,-0.021774413049625005,0.7072038942228724
3,leNet_1,200,nan,nan,0.28654093897090155,4.4512607529970754e-07,-0.04565655500514515,0.43075263884164405,-0.06662904243340624,0.24993387798695985,0.02372213200486805,0.6823769813655094,0.19525615811845,0.0006723653968593896,0.25857862171719653,5.69470764950143e-06,0.24954910545786085,1.2217814505420064e-05,0.1507500190089598,0.008919402185272908,-0.012408485590371048,0.8305218779073432,-0.012408485590371048,0.8305218779073432
4,leNet_1,250,nan,nan,0.1743514613929299,0.002441543507459472,-0.04823418369027882,0.40516203718421917,-0.09986506493355995,0.08420145979062216,-0.05830509440668449,0.3141681618211593,0.24729121767613718,1.4721802019914172e-05,0.19652022053468937,0.0006192052083938989,0.31500572474410277,2.4628986023829284e-08,0.18671945346295665,0.001157316347864039,nan,nan,nan,nan
5,leNet_1,300,nan,nan,0.19609146680407638,0.0006367841187272315,0.04993041174949798,0.38882654233286357,0.06771921579292814,0.24225159333815285,0.00884335716241261,0.8787650027764068,0.17853807142663083,0.0019063919209412724,0.2561948716467858,6.985524393644888e-06,0.2655797483862494,3.0890122368125916e-06,0.144483395881015,0.012236927671170343,nan,nan,nan,nan
6,leNet_1,350,nan,nan,0.19320640857866572,0.0007676142920873313,nan,nan,-0.014638939048151995,0.8006477447242651,0.006012522568477964,0.9174025600727065,0.2263225642899752,7.650380866555625e-05,0.11995452806260433,0.03784743639388812,0.28350324443223485,5.953183743644858e-07,0.0826066136417682,0.15350616812108134,nan,nan,nan,nan
7,leNet_1,400,nan,nan,0.14150635095682024,0.014163645345418837,0.08940330724816109,0.12231196232278735,0.14091073837879503,0.014579614692902466,-0.060204961093199554,0.29863253443576765,0.20473346279065546,0.0003581231827372342,0.07318909309188774,0.20620272127759884,0.2789620086350906,9.13577356502526e-07,0.11088828247587368,0.05504207073485918,nan,nan,nan,nan
8,leNet_1,450,nan,nan,0.14231948540333927,0.013612598871862168,0.10085488555578558,0.08115653298453213,0.040584145091500094,0.4837449363577921,0.01726936783961942,0.7657888478801861,0.11759521197318464,0.041813358870639784,0.08054541737885741,0.16406618445860666,0.2770048934788889,1.0961929285859555e-06,0.10624639504376426,0.06609717882241416,nan,nan,nan,nan
9,leNet_1,500,nan,nan,0.048599021290276496,0.4016144455830724,-0.08313045090082719,0.15090621001220034,-0.023946729882924088,0.6795353664617944,-0.014370031223237758,0.8042350076084367,0.08034902891247445,0.1651000695329674,0.07383838800641053,0.20219569135943133,0.3172449747156355,1.935369285448615e-08,0.041901839963858115,0.4696498025902499,nan,nan,nan,nan
