,model,choosed num,nc 0.75_corr,nc 0.75_p,kmnc 10_corr,kmnc 10_p,snac NONE_corr,snac NONE_p,nbc NONE_corr,nbc NONE_p,tknc 1_corr,tknc 1_p,dsa 10_corr,dsa 10_p,dsa 1000_corr,dsa 1000_p,lsa 10_corr,lsa 10_p,lsa 1000_corr,lsa 1000_p,idc 6_corr,idc 6_p,idc 8_corr,idc 8_p
0,leNet_1,50,0.037134920630009706,0.5216970798979694,0.0526779165701796,0.36322834906682566,nan,nan,nan,nan,-0.03703452464206454,0.5228241284591918,0.40850488537705076,1.706231857312053e-13,0.23342620349807214,4.4511066505668846e-05,0.33788714212090903,1.907570608656735e-09,0.23073190042269784,5.4770652463128656e-05,0.04154715612812739,0.47342142207996185,0.04154715612812739,0.47342142207996185
1,leNet_1,100,nan,nan,0.03795575119411349,0.5125292801993033,nan,nan,nan,nan,0.016169150961469765,0.7803162013903335,0.45208982306710893,1.616228968620604e-16,0.008339862469274666,0.8856188228008425,0.43233891923948325,4.292001902645368e-15,0.04772200195270456,0.41017369188103,0.019252931873506508,0.7398067905158293,0.019252931873506508,0.7398067905158293
2,leNet_1,150,nan,nan,0.15463123114734004,0.007290651877341754,nan,nan,nan,nan,0.01993540284162482,0.7309335211006739,0.3421797126403743,1.1525997724073646e-09,0.06391524024611168,0.2697877026018733,0.4004502907175793,5.55243773081413e-13,0.18110612653144295,0.0016335886565384278,0.045525014344900076,0.43208311389547244,0.045525014344900076,0.43208311389547244
3,leNet_1,200,nan,nan,0.07407966201928101,0.20072118690917973,nan,nan,nan,nan,-0.08125957701273678,0.16034739609797494,0.3358274144077864,2.4226282811458583e-09,0.0990368266282007,0.08681942962857335,0.49432929577085744,6.837310896692328e-20,0.07520390266379666,0.19395348000353121,-0.005218205276121612,0.9282830319935504,-0.005218205276121612,0.9282830319935504
4,leNet_1,250,nan,nan,0.0891674556341379,0.12330478712133962,nan,nan,nan,nan,-0.04329780968137308,0.4549671265370596,0.39141387496561214,2.009761553635935e-12,-0.012113691752070908,0.8344895727144757,0.5150149937411115,1.0101053920892664e-21,0.09434889918650824,0.10289266873383263,nan,nan,nan,nan
5,leNet_1,300,nan,nan,0.2873379683637369,4.121983551274522e-07,nan,nan,nan,nan,0.07954605379935151,0.169378121734099,0.37269079008264366,2.5566236774866176e-11,0.148830162079,0.009838767085551762,0.4428112165949647,7.745903515198038e-16,0.11035936447489528,0.05621870857145757,nan,nan,nan,nan
6,leNet_1,350,nan,nan,0.14133603403722164,0.014281515724338341,nan,nan,nan,nan,0.04366499461901574,0.45114828293131204,0.3880330730466825,3.2197279648356366e-12,0.16726078352329762,0.00366734351623397,0.38737980470791156,3.52451217655442e-12,0.13439410207860084,0.01987866959061728,nan,nan,nan,nan
7,leNet_1,400,nan,nan,0.15811475962558136,0.00606068697106556,nan,nan,nan,nan,0.01627710618229729,0.7788872793508705,0.39106057484835827,2.1117525582991124e-12,0.11784885386686968,0.041370857812344834,0.34129130552704773,1.2800802703003168e-09,0.0548809635136298,0.34347981964729,nan,nan,nan,nan
8,leNet_1,450,nan,nan,0.15966358612623058,0.005576232602688112,nan,nan,nan,nan,0.096267245966817,0.09605164304842956,0.41237374560005396,9.57082312082275e-14,0.1066166971990198,0.06515313144619342,0.38881619887843083,2.888129083003093e-12,0.15898454161171383,0.00578417930552805,nan,nan,nan,nan
9,leNet_1,500,nan,nan,0.17315474438146194,0.0026178855400070095,nan,nan,nan,nan,-0.033282706302587665,0.565814938086832,0.30717689711267676,5.632454653634183e-08,0.05982803199756654,0.30167346314790616,0.32346526170436374,9.804389922577868e-09,-0.0024310655030800573,0.9665532515538848,nan,nan,nan,nan
