,model,choosed num,nc 0.75_corr,nc 0.75_p,kmnc 10_corr,kmnc 10_p,snac NONE_corr,snac NONE_p,nbc NONE_corr,nbc NONE_p,tknc 1_corr,tknc 1_p,dsa 10_corr,dsa 10_p,dsa 1000_corr,dsa 1000_p,lsa 10_corr,lsa 10_p,lsa 1000_corr,lsa 1000_p,idc 6_corr,idc 6_p,idc 8_corr,idc 8_p
52,leNet_5,750,0.04635825414403134,0.4236953370984683,0.12767537602821868,0.02702008377179898,-0.016904503593798692,0.7705977468454083,-0.020313133501510823,0.7260376562316131,0.12345215796175597,0.032556491846797465,0.19210097864482917,0.0008240130968501199,0.47793626566192793,1.5843195967163798e-18,0.2628631325129944,3.924631069004353e-06,0.4152028599623331,6.241381361320323e-14,nan,nan,nan,nan
53,leNet_5,800,-0.0024622331947911137,0.9661246993560787,0.06582604747518203,0.2556996740392038,0.07643341422924863,0.1867445651343873,0.03185386149811258,0.582620325627471,0.1554237302331281,0.00699275247959611,0.26738085833267955,2.6317785907458637e-06,0.543867591348233,1.7101706185515534e-24,0.20779558867589976,0.00029038169237541035,0.3978721387058898,8.046533555579526e-13,nan,nan,nan,nan
54,leNet_5,850,-0.15996479318285772,0.005486160795759635,-0.038843679667503336,0.5027069914124738,0.033165385152235924,0.5671860444545965,0.08060968503531554,0.16372890422541456,0.000795406953647106,0.9890538931892818,0.0643096067487338,0.2668375734008871,0.5362462295895922,9.796741684732555e-24,0.16148974830000853,0.0050498899648055845,0.5065145496350253,5.911280411506911e-21,nan,nan,nan,nan
55,leNet_5,900,0.05703389221315845,0.32485320367492254,0.016485782593189276,0.7761272975477506,-0.012435209268271675,0.8301624089077964,0.011474408212392172,0.8431081175441237,0.05507625105245543,0.341762774435893,0.0696181826304371,0.2292676215412989,0.5472896453652265,7.697381482722679e-25,0.16888913755264062,0.0033447395588423762,0.3588460113067456,1.513620459298337e-10,nan,nan,nan,nan
56,leNet_5,950,0.05515489969596273,0.34107281068990675,-0.017419868391516685,0.763807856750551,-0.04537910098505561,0.43356172941600835,-0.04537910098505561,0.43356172941600835,0.011986194660011974,0.8362068897746634,0.18527135497211827,0.0012661222880757774,0.5339694660729352,1.636160426172018e-23,0.1469483260062629,0.010820485018022196,0.359839311738544,1.336068190055207e-10,nan,nan,nan,nan
57,resnet20_cifar10,50,0.07230843674838144,0.21172881618761144,-0.0017377941522439962,0.9760879127924657,0.03511151812418734,0.544649340814412,0.044183497811774594,0.4457865464260646,0.03139847979094014,0.5880245963325614,0.1883441933327178,0.0010455144410265855,0.17506444332328586,0.0023416940301124686,0.19837096691893671,0.0005483584732070159,-0.029375966933383516,0.6123007988253181,-0.07050879876493293,0.22335095061402205,-0.07050879876493293,0.22335095061402205
58,resnet20_cifar10,100,-0.09682456637324668,0.09413358322608734,-0.006012148308138265,0.9174076831885114,0.04584402886136335,0.4288605175606684,0.02957818116509092,0.6098538650751563,-0.05857000613099602,0.3119707489454673,0.121552456601476,0.035346174767386836,0.20660872678652747,0.0003150798506007301,0.10396773067197833,0.07215606545735306,0.05423773857223255,0.3491739909551123,-0.0797635933048288,0.16821103976685914,-0.0797635933048288,0.16821103976685914
59,resnet20_cifar10,150,-0.013149698190268282,0.8205649250444551,0.04805758958543784,0.40688586764718493,0.029469128473655404,0.6111729422192375,0.039566431878480884,0.4947855934158039,-0.03599359100266484,0.5345825511215386,0.06835960511643259,0.2378167021747996,0.22089983562775306,0.00011437055889007572,0.1593372870746186,0.0056753039469490014,0.09987227598818063,0.08417894874818899,0.0969009906012801,0.09387296248002132,0.0969009906012801,0.09387296248002132
60,resnet20_cifar10,200,-0.011524210789312182,0.8424360148006463,-0.06207663163830017,0.28383497169000727,0.011499238299579488,0.8427730128143919,-0.013842480078197602,0.8112844664088081,-0.014577913216967784,0.8014614727456264,-0.012360711021781974,0.8311645972664269,0.05489640022779981,0.34334389474189164,0.10981391765249154,0.05745386411689433,0.14282694085114542,0.013278334896152448,-0.019797019449338055,0.73272988913498,-0.019797019449338055,0.73272988913498
61,resnet20_cifar10,250,-0.018480156973570836,0.7498958632821198,-0.1187608420005451,0.03981227771346609,-0.05414264060762573,0.35002088135141907,-0.05305506894959915,0.3597982440341114,-0.0849424260659192,0.1421700027686251,0.13113433922619327,0.023107688420915137,0.13145580702905546,0.022770281200852525,0.17308466469082595,0.0026285626117821563,0.06461679657765389,0.2645549365275085,-0.11459166530247969,0.04736330850271594,-0.11459166530247969,0.04736330850271594
62,resnet20_cifar10,300,0.04933376948979509,0.3945264668675308,0.052007619757990946,0.36937457962195325,0.058447173145789295,0.31298837840427185,0.04285151669924701,0.45963301146385854,-0.006883893822621182,0.905484365548033,0.11096974935306277,0.054862666971498796,0.11302403679396777,0.05049670042701239,0.20268258232411382,0.0004114243996056933,0.09014000453958888,0.11925081137578213,-0.055270727007485955,0.34005830532780945,-0.055270727007485955,0.34005830532780945
63,resnet20_cifar10,350,0.09110856519239167,0.11531750006888164,0.04810105487348394,0.4064611761041114,0.10000265706507296,0.08377276818793568,0.07318526090595366,0.20622654017854122,0.021947367395950268,0.7049862562612197,0.06636566222108435,0.2518149992451129,0.17853817907554168,0.0019063796609925592,0.14913365057660022,0.009688063874956906,0.05290032121273133,0.3612031793491493,0.05964122116245966,0.30318816089840606,0.05964122116245966,0.30318816089840606
64,resnet20_cifar10,400,-0.07279197599639159,0.208681579711108,0.026147553404158353,0.6519352214299614,-0.03680592455266456,0.5253950337255998,-0.004227518061563735,0.941871843633351,0.0597818463617179,0.3020474778328839,0.2147992771001031,0.00017771768392999356,0.13589200451401126,0.018531372350792892,0.1628366235593781,0.00469079414315406,0.04019084705757936,0.48799579329913306,-0.022958843189426828,0.6920674469055296,-0.022958843189426828,0.6920674469055296
65,resnet20_cifar10,450,0.053362667654211854,0.35701575027572424,0.024083067307625838,0.6778126276115968,-0.015923808630920137,0.7835663530129187,0.007689195155098801,0.8944885833151373,-0.05128050846946004,0.3761140396994205,0.10892551786663451,0.05951364188607077,0.1358345602565045,0.018581536273096576,0.1360312883170791,0.01841023029192283,0.059622460626812056,0.3033405523372938,-0.04839834214514132,0.40356349982834994,-0.04839834214514132,0.40356349982834994
