No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,81,66,85,85,121.44071500000001
1,82,65,87,84,121.44154900000001
2,74,62,81,79,121.442462
3,79,63,84,83,121.44328999999999
4,79,64,85,84,121.444096
5,79,65,84,86,121.444928
6,74,63,83,80,121.44575499999999
7,78,63,81,83,121.44661500000001
8,74,62,81,79,121.447442
9,76,69,82,82,121.44826900000001
10,76,66,81,82,121.449093
11,71,62,78,78,121.44990200000001
12,79,60,84,84,121.450741
13,71,61,76,78,121.45157499999999
14,78,63,85,83,121.452425
15,74,68,80,85,121.453262
16,77,63,80,85,121.454095
17,79,65,83,86,121.45492200000001
18,70,63,81,77,121.45575400000001
19,73,68,78,82,121.456545
20,72,65,79,82,121.457371
21,73,61,82,77,121.458233
22,81,66,85,85,121.45906
23,77,64,83,83,121.459915
24,72,67,85,83,121.460745
25,78,67,83,83,121.46156500000001
26,73,66,82,81,121.462423
27,76,61,84,82,121.46328600000001
28,75,62,83,81,121.46410600000002
29,75,68,80,82,121.464932
30,75,65,79,83,121.46577400000001
31,80,64,83,83,121.46662
32,77,58,81,81,121.46748
33,73,59,81,80,121.468321
34,77,63,84,82,121.46912
35,80,67,82,86,121.46991399999999
36,74,62,79,79,121.47075699999999
37,75,61,86,79,121.47160300000002
38,76,62,78,81,121.472433
39,76,61,79,81,121.47329300000001
40,75,63,80,80,121.474167
41,73,69,82,81,121.47502399999999
42,78,61,84,81,121.475833
43,79,69,84,85,121.47662199999999
44,75,64,82,81,121.477419
45,77,67,83,84,121.47824299999999
46,73,61,81,76,121.47908900000002
47,74,63,78,82,121.47989799999999
48,79,64,84,85,121.480692
49,77,64,83,83,121.481484
50,77,70,82,84,121.48235199999999
51,72,59,85,76,121.48320000000001
52,80,64,83,83,121.48403300000001
53,81,67,84,84,121.484827
54,74,62,79,79,121.485623
55,71,60,81,77,121.48646
56,75,62,85,80,121.487326
57,74,66,80,78,121.488124
58,72,63,80,78,121.488914
59,74,61,81,82,121.489702
60,80,71,89,88,121.490553
61,76,66,79,82,121.491412
62,75,65,77,80,121.492243
63,75,66,82,81,121.49307999999999
64,75,68,78,79,121.493867
65,74,68,80,83,121.49472600000001
66,78,58,82,80,121.495575
67,75,62,79,80,121.496366
68,71,62,78,77,121.49715800000001
69,73,70,78,77,121.497952
