fitness,num_div,each_div,coverage
idc,1,1000,0.9166666666666666
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,0.9166666666666666
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,0.9166666666666666
idc,1,1000,0.8333333333333334
idc,1,1000,0.9166666666666666
idc,1,1000,0.9166666666666666
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,0.9166666666666666
idc,1,1000,0.8333333333333334
idc,1,1000,0.9166666666666666
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,0.9166666666666666
idc,1,1000,0.9166666666666666
idc,1,1000,0.8333333333333334
idc,1,1000,0.9166666666666666
idc,1,1000,0.9166666666666666
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,1.0
idc,1,1000,0.9166666666666666
idc,2,500,0.9166666666666666
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,0.9166666666666666
idc,2,500,0.9166666666666666
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,2,500,1.0
idc,3,333,0.9166666666666666
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,0.9166666666666666
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,0.9166666666666666
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,3,333,1.0
idc,4,250,0.9166666666666666
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,4,250,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,0.9166666666666666
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,5,200,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,6,166,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,0.9166666666666666
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,7,142,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,8,125,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,9,111,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
idc,10,100,1.0
