No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,0.0,36.0,1.0,36.0,10.048958
1,2.0,41.0,2.0,43.0,10.052081
2,2.0,36.0,2.0,37.0,10.055251999999998
3,1.0,39.0,2.0,39.0,10.058327
4,1.0,34.0,3.0,35.0,10.061425999999999
5,0.0,38.0,1.0,38.0,10.064521999999998
6,0.0,40.0,3.0,40.0,10.067662
7,0.0,43.0,0.0,43.0,10.070786999999997
8,2.0,37.0,5.0,39.0,10.073956999999998
9,2.0,40.0,3.0,41.0,10.077122999999998
10,2.0,40.0,6.0,42.0,10.080307
11,0.0,37.0,3.0,37.0,10.083476
12,1.0,35.0,2.0,36.0,10.086616999999999
13,4.0,35.0,4.0,39.0,10.089833
14,2.0,38.0,2.0,40.0,10.092905999999997
15,0.0,41.0,1.0,41.0,10.095982999999999
16,1.0,36.0,3.0,37.0,10.099196999999998
17,3.0,37.0,9.0,40.0,10.102357
18,0.0,33.0,4.0,33.0,10.10563
19,0.0,35.0,0.0,35.0,10.108773999999999
20,0.0,37.0,2.0,37.0,10.111924
21,1.0,36.0,3.0,37.0,10.115148
22,2.0,40.0,3.0,42.0,10.118342
23,2.0,41.0,4.0,43.0,10.121508999999998
24,0.0,42.0,2.0,42.0,10.124633999999999
25,3.0,39.0,5.0,40.0,10.127847000000001
26,0.0,41.0,4.0,41.0,10.131079999999999
27,0.0,40.0,3.0,40.0,10.13426
28,2.0,36.0,3.0,38.0,10.137462999999999
29,1.0,37.0,2.0,38.0,10.140648
30,0.0,36.0,0.0,36.0,10.143764
31,2.0,36.0,4.0,38.0,10.146987999999999
32,0.0,36.0,0.0,36.0,10.150338
33,3.0,38.0,4.0,41.0,10.153585999999999
34,2.0,39.0,3.0,41.0,10.156784999999998
35,0.0,39.0,0.0,39.0,10.159984
36,1.0,37.0,3.0,38.0,10.163224999999999
37,1.0,37.0,6.0,38.0,10.166502
38,1.0,37.0,3.0,38.0,10.169756999999999
39,0.0,37.0,2.0,37.0,10.172959999999998
40,1.0,43.0,2.0,44.0,10.176150999999999
41,1.0,39.0,2.0,40.0,10.179424
42,2.0,36.0,3.0,38.0,10.182671000000001
43,1.0,38.0,2.0,39.0,10.185885999999998
44,1.0,40.0,1.0,41.0,10.189082999999998
45,2.0,42.0,3.0,44.0,10.192282
46,3.0,41.0,3.0,44.0,10.19551
47,0.0,36.0,1.0,36.0,10.198766
48,3.0,38.0,5.0,41.0,10.202008999999999
49,0.0,40.0,1.0,40.0,10.20529
50,1.0,42.0,3.0,43.0,10.208533000000001
51,0.0,35.0,1.0,35.0,10.211743999999998
52,3.0,37.0,5.0,40.0,10.214885
53,2.0,35.0,2.0,37.0,10.218137
54,1.0,38.0,1.0,39.0,10.221319
55,2.0,42.0,2.0,44.0,10.224482999999998
56,0.0,36.0,1.0,36.0,10.227661
57,3.0,39.0,3.0,42.0,10.230839999999999
58,0.0,36.0,1.0,36.0,10.234073
59,0.0,38.0,0.0,38.0,10.237236999999999
60,2.0,40.0,4.0,42.0,10.240384999999998
61,1.0,41.0,1.0,41.0,10.24357
62,2.0,36.0,3.0,38.0,10.246747000000001
63,0.0,42.0,0.0,42.0,10.249988
64,1.0,40.0,2.0,41.0,10.253282999999998
65,2.0,36.0,5.0,38.0,10.256441999999998
66,2.0,35.0,2.0,37.0,10.259656999999999
67,1.0,41.0,1.0,42.0,10.262925999999998
68,0.0,37.0,0.0,37.0,10.26619
69,1.0,42.0,3.0,42.0,10.269373
70,2.0,36.0,3.0,38.0,10.272471999999999
71,0.0,37.0,1.0,37.0,10.27566
72,3.0,39.0,5.0,40.0,10.278864999999998
73,0.0,35.0,1.0,35.0,10.282055999999999
74,3.0,35.0,6.0,38.0,10.285261999999998
75,0.0,36.0,0.0,36.0,10.288417
76,0.0,40.0,2.0,40.0,10.291611999999999
77,0.0,42.0,0.0,42.0,10.294745999999998
78,2.0,39.0,2.0,41.0,10.297982
79,3.0,41.0,4.0,42.0,10.301152
80,1.0,41.0,4.0,42.0,10.304266999999998
81,2.0,38.0,3.0,40.0,10.307483
82,5.0,38.0,8.0,41.0,10.310706999999999
83,1.0,36.0,5.0,37.0,10.313941999999999
84,1.0,40.0,3.0,41.0,10.317154999999998
85,4.0,36.0,5.0,40.0,10.320286999999999
86,3.0,34.0,3.0,35.0,10.323451
87,0.0,38.0,2.0,38.0,10.326616
88,0.0,35.0,2.0,35.0,10.329841
89,0.0,35.0,2.0,35.0,10.332938
90,0.0,39.0,1.0,39.0,10.336045999999998
91,3.0,38.0,6.0,39.0,10.339229999999999
92,3.0,38.0,8.0,40.0,10.342477
93,0.0,36.0,3.0,36.0,10.345681
94,1.0,37.0,2.0,38.0,10.348912999999998
95,1.0,34.0,3.0,35.0,10.352084
96,3.0,39.0,4.0,41.0,10.355437
97,0.0,37.0,3.0,37.0,10.358521999999999
98,2.0,39.0,2.0,41.0,10.361680999999999
99,0.0,41.0,4.0,41.0,10.364759999999999
100,1.0,33.0,2.0,34.0,10.367956999999999
101,0.0,42.0,1.0,42.0,10.371068
102,1.0,39.0,2.0,40.0,10.374173999999998
103,0.0,34.0,4.0,34.0,10.377369
104,4.0,40.0,5.0,44.0,10.380453999999999
105,1.0,40.0,3.0,40.0,10.383608999999998
106,0.0,37.0,2.0,37.0,10.386763
107,1.0,40.0,2.0,41.0,10.389832999999998
108,3.0,39.0,4.0,42.0,10.392995999999998
109,1.0,36.0,3.0,37.0,10.396057999999998
110,1.0,40.0,2.0,41.0,10.399185999999998
111,1.0,38.0,3.0,39.0,10.402329
112,0.0,43.0,1.0,43.0,10.405395
113,1.0,36.0,3.0,37.0,10.408458999999999
114,1.0,38.0,3.0,39.0,10.411630999999998
115,2.0,43.0,3.0,45.0,10.414710999999999
116,0.0,37.0,2.0,37.0,10.417854999999998
117,2.0,39.0,2.0,41.0,10.420931999999999
118,1.0,35.0,3.0,36.0,10.423991
119,2.0,38.0,2.0,40.0,10.427124999999998
120,4.0,35.0,4.0,37.0,10.430199
121,2.0,36.0,5.0,38.0,10.433378
122,1.0,41.0,1.0,42.0,10.436510999999998
123,2.0,36.0,6.0,37.0,10.439631
124,2.0,40.0,3.0,42.0,10.442852
125,2.0,37.0,3.0,38.0,10.445967999999999
126,0.0,36.0,0.0,36.0,10.449249
127,0.0,40.0,2.0,40.0,10.452415
128,0.0,37.0,1.0,37.0,10.455740999999998
129,1.0,36.0,2.0,37.0,10.45895
130,1.0,37.0,3.0,38.0,10.462131999999999
131,1.0,34.0,5.0,35.0,10.465359999999999
132,4.0,35.0,4.0,39.0,10.468517
133,1.0,38.0,4.0,39.0,10.471668
134,0.0,41.0,1.0,41.0,10.474880999999998
135,1.0,37.0,1.0,38.0,10.478052
136,3.0,39.0,5.0,42.0,10.481252
137,0.0,39.0,0.0,39.0,10.484429
138,2.0,36.0,4.0,37.0,10.487632
139,1.0,38.0,1.0,39.0,10.490809999999998
140,0.0,38.0,0.0,38.0,10.494058
