No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,39.0,32.0,39.0,40.0,10.041270999999998
1,39.0,34.0,39.0,40.0,10.042774999999999
2,39.0,32.0,40.0,40.0,10.044263
3,38.0,35.0,38.0,40.0,10.045683
4,39.0,34.0,40.0,42.0,10.047252
5,40.0,32.0,40.0,41.0,10.048656999999999
6,38.0,33.0,38.0,39.0,10.050063999999999
7,39.0,32.0,39.0,40.0,10.051465999999998
8,39.0,34.0,40.0,40.0,10.052866999999999
9,39.0,33.0,39.0,41.0,10.054269999999999
10,38.0,34.0,40.0,39.0,10.055672000000001
11,40.0,36.0,40.0,42.0,10.057072999999999
12,38.0,33.0,38.0,40.0,10.058473
13,38.0,35.0,39.0,40.0,10.059868999999999
14,38.0,35.0,39.0,40.0,10.061262
15,38.0,33.0,39.0,40.0,10.062749
16,39.0,32.0,40.0,41.0,10.064276
17,37.0,33.0,39.0,39.0,10.065684999999998
18,40.0,34.0,40.0,41.0,10.067108000000001
19,37.0,34.0,38.0,38.0,10.06851
20,36.0,32.0,38.0,39.0,10.069924999999998
21,39.0,32.0,40.0,40.0,10.071323
22,39.0,35.0,39.0,40.0,10.072748
23,37.0,35.0,39.0,40.0,10.074261
24,38.0,35.0,38.0,39.0,10.075741999999998
25,39.0,34.0,40.0,41.0,10.077167
26,38.0,35.0,39.0,39.0,10.078558000000001
27,39.0,34.0,39.0,40.0,10.080022
28,40.0,34.0,40.0,41.0,10.081442
29,40.0,34.0,40.0,41.0,10.082830999999999
30,39.0,32.0,39.0,40.0,10.084305
31,38.0,33.0,38.0,40.0,10.085709999999999
32,39.0,34.0,39.0,40.0,10.087105999999999
33,38.0,34.0,38.0,40.0,10.08861
34,38.0,32.0,39.0,40.0,10.089996
35,37.0,32.0,37.0,39.0,10.091396
36,38.0,34.0,40.0,39.0,10.092786999999998
37,38.0,34.0,39.0,40.0,10.094179999999998
38,39.0,34.0,39.0,40.0,10.095647
39,37.0,35.0,39.0,40.0,10.09713
40,38.0,36.0,39.0,40.0,10.098531000000001
41,37.0,34.0,40.0,39.0,10.099941000000001
42,39.0,34.0,39.0,40.0,10.101333999999998
