No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,1.0,43.0,1.0,44.0,12.013430999999999
1,0.0,52.0,1.0,52.0,12.016067000000001
2,0.0,46.0,2.0,46.0,12.018566000000002
3,1.0,50.0,1.0,51.0,12.021061999999999
4,0.0,47.0,1.0,47.0,12.023666
5,0.0,50.0,0.0,50.0,12.026133
6,1.0,42.0,1.0,43.0,12.028695
7,0.0,47.0,2.0,47.0,12.031231
8,3.0,47.0,3.0,49.0,12.033669999999999
9,1.0,51.0,1.0,52.0,12.036119000000001
10,2.0,42.0,3.0,44.0,12.038684000000002
11,0.0,49.0,1.0,49.0,12.041195
12,1.0,49.0,2.0,50.0,12.043771000000001
13,0.0,49.0,2.0,49.0,12.046231
14,2.0,47.0,2.0,48.0,12.048665000000002
15,1.0,49.0,2.0,50.0,12.051115000000001
16,1.0,49.0,1.0,50.0,12.053548999999999
17,0.0,43.0,0.0,43.0,12.056125
18,0.0,51.0,0.0,51.0,12.058607
19,0.0,51.0,2.0,51.0,12.061062000000002
20,3.0,45.0,3.0,47.0,12.063654999999999
21,2.0,48.0,4.0,50.0,12.066103
22,1.0,51.0,2.0,51.0,12.068537000000001
23,1.0,46.0,1.0,47.0,12.071059
24,0.0,46.0,0.0,46.0,12.073617
25,1.0,50.0,1.0,51.0,12.076074
26,0.0,43.0,1.0,43.0,12.078636999999999
27,1.0,45.0,1.0,46.0,12.081080000000002
28,0.0,50.0,2.0,50.0,12.083535
29,2.0,43.0,2.0,44.0,12.085979
30,0.0,44.0,0.0,44.0,12.088513
31,1.0,44.0,1.0,45.0,12.091104
32,1.0,50.0,2.0,51.0,12.093703
33,2.0,48.0,3.0,50.0,12.096266000000002
34,0.0,46.0,1.0,46.0,12.098768000000002
35,1.0,48.0,3.0,49.0,12.101215999999999
36,1.0,50.0,2.0,51.0,12.103686999999999
37,1.0,46.0,1.0,47.0,12.106464
38,2.0,43.0,2.0,43.0,12.108915999999999
39,0.0,42.0,1.0,42.0,12.111448999999999
40,1.0,49.0,2.0,50.0,12.114130999999999
41,0.0,42.0,1.0,42.0,12.11659
42,0.0,50.0,0.0,50.0,12.119048000000001
43,0.0,51.0,0.0,51.0,12.121563
44,1.0,50.0,3.0,51.0,12.124149000000001
45,0.0,49.0,2.0,49.0,12.126603000000001
46,1.0,46.0,1.0,46.0,12.129194
47,1.0,49.0,1.0,49.0,12.131651
48,1.0,49.0,1.0,50.0,12.134108
49,3.0,43.0,3.0,46.0,12.136546999999998
50,0.0,50.0,0.0,50.0,12.139166999999999
51,2.0,47.0,2.0,49.0,12.14167
52,1.0,49.0,5.0,50.0,12.144236000000001
53,0.0,47.0,2.0,47.0,12.146728999999999
54,3.0,47.0,3.0,48.0,12.149178999999998
55,0.0,45.0,2.0,45.0,12.151625000000001
56,0.0,43.0,0.0,43.0,12.154071
57,0.0,47.0,1.0,47.0,12.156692000000001
