No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,81.0,91.0,90.0,21.120342
1,84.0,88.0,89.0,21.128788
2,83.0,86.0,83.0,21.137073
3,81.0,86.0,87.0,21.145814
4,84.0,90.0,91.0,21.154129
5,82.0,90.0,86.0,21.162351
6,77.0,86.0,85.0,21.170639
7,84.0,90.0,87.0,21.178837
8,81.0,88.0,89.0,21.187132
9,81.0,88.0,89.0,21.19537
10,79.0,88.0,88.0,21.203571
11,84.0,89.0,88.0,21.211859
12,84.0,89.0,87.0,21.220351
13,80.0,87.0,85.0,21.228759
14,87.0,91.0,91.0,21.23698
15,81.0,86.0,88.0,21.245283
16,82.0,88.0,87.0,21.25424
17,83.0,87.0,87.0,21.263052
18,86.0,88.0,89.0,21.271685
19,83.0,88.0,87.0,21.280378
20,80.0,90.0,88.0,21.288643
21,84.0,88.0,89.0,21.296912
22,82.0,88.0,87.0,21.305174
23,80.0,88.0,87.0,21.313432
24,80.0,87.0,86.0,21.321888
25,78.0,87.0,81.0,21.330144
26,81.0,84.0,88.0,21.338439
27,84.0,85.0,88.0,21.346858
28,87.0,92.0,90.0,21.355134
29,81.0,88.0,85.0,21.363487
30,81.0,85.0,87.0,21.371688
31,83.0,88.0,88.0,21.379941
32,81.0,86.0,85.0,21.38816
33,85.0,90.0,85.0,21.396443
34,84.0,87.0,88.0,21.40464
35,84.0,90.0,90.0,21.412826
36,84.0,89.0,88.0,21.421178
37,79.0,84.0,84.0,21.429578
38,77.0,88.0,84.0,21.43806
39,80.0,88.0,89.0,21.446358
40,80.0,84.0,88.0,21.454645
41,84.0,89.0,88.0,21.462889
42,80.0,86.0,88.0,21.471107
43,81.0,85.0,86.0,21.479487
44,82.0,88.0,88.0,21.487773999999998
45,83.0,88.0,87.0,21.495959
46,76.0,83.0,80.0,21.504227
47,82.0,88.0,87.0,21.512452
48,83.0,88.0,87.0,21.520699
49,80.0,87.0,86.0,21.528904999999998
50,86.0,89.0,88.0,21.537285
51,85.0,91.0,91.0,21.545649
52,82.0,86.0,93.0,21.553863
53,79.0,87.0,86.0,21.562119
54,79.0,85.0,84.0,21.570332
55,75.0,89.0,87.0,21.578503
56,82.0,85.0,86.0,21.586769
57,80.0,86.0,88.0,21.594988999999998
58,84.0,90.0,84.0,21.603365
59,88.0,93.0,92.0,21.61173
60,80.0,85.0,87.0,21.620977
61,74.0,83.0,84.0,21.629679
62,79.0,88.0,87.0,21.638293
63,82.0,90.0,87.0,21.646974
64,82.0,87.0,90.0,21.655535
65,79.0,86.0,87.0,21.664366
66,85.0,88.0,88.0,21.673568
67,77.0,87.0,89.0,21.68252
68,79.0,87.0,89.0,21.691337
69,79.0,84.0,84.0,21.699998
70,79.0,86.0,85.0,21.708496
71,85.0,89.0,88.0,21.717445
72,78.0,86.0,89.0,21.726194
73,83.0,86.0,88.0,21.734998
74,84.0,89.0,88.0,21.743475
75,77.0,85.0,87.0,21.752099
76,79.0,88.0,83.0,21.760637
77,81.0,85.0,88.0,21.769098
78,81.0,90.0,88.0,21.777633
79,79.0,86.0,86.0,21.786004
