No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,106.0,82.0,123.0,125.0,3.6945299999999985
1,111.0,85.0,133.0,133.0,3.6959549999999997
2,119.0,93.0,128.0,140.0,3.697310999999999
3,108.0,90.0,127.0,129.0,3.698663
4,109.0,86.0,122.0,138.0,3.7000659999999996
5,118.0,78.0,136.0,136.0,3.701447999999999
6,112.0,87.0,131.0,137.0,3.702793999999999
7,107.0,84.0,128.0,134.0,3.704148
8,112.0,97.0,127.0,140.0,3.7054969999999994
9,113.0,91.0,131.0,142.0,3.7068449999999995
10,115.0,83.0,127.0,140.0,3.708195
11,111.0,91.0,125.0,133.0,3.7095439999999993
12,114.0,91.0,134.0,143.0,3.710894999999999
13,109.0,97.0,122.0,134.0,3.712251
14,106.0,90.0,124.0,128.0,3.7135989999999985
15,109.0,94.0,127.0,139.0,3.714945
16,114.0,83.0,136.0,137.0,3.7162930000000003
17,117.0,95.0,139.0,147.0,3.717637999999999
18,107.0,85.0,124.0,128.0,3.7189819999999987
19,113.0,94.0,133.0,137.0,3.7203349999999986
20,119.0,85.0,137.0,143.0,3.7216829999999987
21,108.0,94.0,133.0,136.0,3.723032
22,111.0,90.0,137.0,141.0,3.7243889999999986
23,104.0,88.0,127.0,131.0,3.7257309999999997
24,116.0,93.0,125.0,142.0,3.7270889999999994
25,113.0,86.0,133.0,131.0,3.7284489999999995
26,118.0,92.0,128.0,138.0,3.729801
27,110.0,89.0,128.0,139.0,3.7311499999999995
28,112.0,87.0,127.0,131.0,3.7325
29,108.0,96.0,126.0,139.0,3.733848
30,110.0,93.0,126.0,134.0,3.7352030000000003
31,116.0,94.0,130.0,139.0,3.736547999999999
32,111.0,84.0,132.0,136.0,3.737895
33,111.0,91.0,132.0,132.0,3.7392369999999993
34,107.0,91.0,125.0,134.0,3.7405939999999998
35,107.0,92.0,132.0,137.0,3.741935
36,107.0,89.0,125.0,131.0,3.7432869999999987
37,103.0,88.0,130.0,134.0,3.7446589999999986
38,123.0,80.0,135.0,137.0,3.7460569999999986
39,109.0,94.0,125.0,136.0,3.747456999999999
40,110.0,84.0,121.0,134.0,3.7488029999999988
41,104.0,95.0,121.0,132.0,3.7502059999999986
42,111.0,93.0,129.0,136.0,3.7515479999999997
43,106.0,89.0,126.0,133.0,3.7528869999999994
44,112.0,95.0,132.0,139.0,3.7542349999999995
45,106.0,91.0,132.0,130.0,3.755597
46,115.0,84.0,132.0,136.0,3.756950999999999
47,111.0,92.0,129.0,133.0,3.758331
48,106.0,86.0,122.0,133.0,3.7597759999999987
49,109.0,91.0,129.0,134.0,3.7611410000000003
50,106.0,90.0,127.0,133.0,3.762492999999999
51,115.0,86.0,133.0,142.0,3.763843999999999
52,120.0,88.0,137.0,142.0,3.765191999999999
53,106.0,90.0,128.0,131.0,3.766532999999999
54,120.0,100.0,133.0,146.0,3.767892
55,105.0,90.0,134.0,135.0,3.7692379999999996
56,110.0,85.0,131.0,133.0,3.7705859999999998
57,114.0,90.0,137.0,136.0,3.771984999999999
58,108.0,89.0,132.0,136.0,3.773356999999999
59,110.0,87.0,129.0,134.0,3.774706
60,114.0,92.0,135.0,139.0,3.7760609999999986
61,106.0,88.0,122.0,128.0,3.777407
62,112.0,87.0,134.0,130.0,3.7788579999999996
63,109.0,89.0,124.0,134.0,3.780222
64,108.0,83.0,126.0,129.0,3.7815699999999985
65,114.0,87.0,131.0,137.0,3.7829179999999987
66,113.0,86.0,132.0,137.0,3.784276
67,114.0,93.0,139.0,141.0,3.785620999999999
68,110.0,87.0,129.0,137.0,3.787006999999999
69,112.0,94.0,129.0,137.0,3.788366999999999
70,109.0,84.0,135.0,133.0,3.7897119999999997
71,118.0,84.0,136.0,136.0,3.7910579999999996
72,114.0,95.0,137.0,140.0,3.792479
73,112.0,94.0,131.0,138.0,3.793863
74,107.0,89.0,130.0,132.0,3.7953609999999998
75,118.0,88.0,129.0,141.0,3.7967180000000003
76,117.0,88.0,129.0,138.0,3.798114
77,106.0,87.0,126.0,131.0,3.7995140000000003
78,118.0,92.0,129.0,142.0,3.800891
79,117.0,93.0,131.0,140.0,3.802256999999999
80,115.0,96.0,130.0,143.0,3.803628999999999
81,114.0,88.0,133.0,138.0,3.804976
82,113.0,87.0,132.0,136.0,3.806317999999999
83,116.0,90.0,134.0,140.0,3.8077059999999996
84,112.0,90.0,128.0,138.0,3.809049999999999
85,113.0,93.0,129.0,144.0,3.8103949999999998
86,113.0,93.0,124.0,137.0,3.8117520000000003
87,114.0,92.0,133.0,141.0,3.813134
88,116.0,87.0,140.0,138.0,3.814489
89,114.0,96.0,134.0,140.0,3.8158329999999996
90,113.0,89.0,126.0,137.0,3.817176
91,122.0,96.0,131.0,150.0,3.8185589999999987
92,117.0,90.0,132.0,140.0,3.819908
93,117.0,88.0,134.0,140.0,3.821254999999999
94,109.0,84.0,126.0,130.0,3.8225929999999995
95,113.0,91.0,125.0,136.0,3.824000999999999
96,113.0,94.0,128.0,138.0,3.825353
97,115.0,85.0,134.0,138.0,3.826696
98,115.0,92.0,128.0,138.0,3.828085999999999
99,116.0,87.0,133.0,139.0,3.8294359999999994
100,106.0,91.0,128.0,132.0,3.8308619999999998
101,114.0,86.0,124.0,136.0,3.832265999999999
102,113.0,98.0,135.0,141.0,3.8336509999999997
103,113.0,87.0,136.0,138.0,3.8349960000000003
104,108.0,95.0,128.0,138.0,3.8363559999999985
105,116.0,90.0,134.0,140.0,3.8377079999999992
106,104.0,90.0,124.0,135.0,3.8391699999999993
107,112.0,85.0,128.0,136.0,3.8405309999999986
108,122.0,94.0,137.0,142.0,3.8418789999999987
109,118.0,88.0,132.0,143.0,3.843268
110,108.0,92.0,133.0,135.0,3.8446859999999994
111,113.0,88.0,132.0,137.0,3.846048999999999
112,113.0,93.0,131.0,139.0,3.847486
113,110.0,97.0,126.0,137.0,3.8489240000000002
114,108.0,84.0,127.0,136.0,3.8502709999999993
115,106.0,88.0,124.0,131.0,3.851628999999999
116,117.0,86.0,130.0,138.0,3.852981999999999
117,116.0,91.0,130.0,142.0,3.854367999999999
118,115.0,86.0,133.0,135.0,3.8557360000000003
119,108.0,87.0,122.0,134.0,3.857085999999999
120,110.0,85.0,128.0,134.0,3.858549
