No.,Fitness,No. Wrong Cases,No. Wrong Classes,Jaccard,Runtime
0,69.0,60.0,76.0,84.0,3.7360640000000007
1,68.0,54.0,77.0,80.0,3.736891999999999
2,60.0,51.0,70.0,71.0,3.7377129999999994
3,58.0,57.0,66.0,77.0,3.738543999999999
4,63.0,49.0,72.0,76.0,3.739362
5,66.0,54.0,75.0,80.0,3.7401780000000002
6,64.0,56.0,70.0,79.0,3.741034000000001
7,70.0,51.0,76.0,79.0,3.741892
8,62.0,54.0,71.0,80.0,3.742713
9,59.0,59.0,71.0,72.0,3.743532
10,65.0,53.0,78.0,76.0,3.7443489999999997
11,60.0,58.0,67.0,80.0,3.745208
12,66.0,46.0,73.0,75.0,3.7460389999999997
13,67.0,53.0,69.0,80.0,3.7468649999999997
14,62.0,60.0,75.0,80.0,3.747681
15,62.0,55.0,75.0,78.0,3.7484920000000006
16,63.0,54.0,72.0,78.0,3.7493040000000004
17,67.0,57.0,75.0,80.0,3.7501180000000005
18,65.0,51.0,75.0,80.0,3.750940999999999
19,60.0,58.0,71.0,76.0,3.7517580000000006
20,63.0,55.0,71.0,80.0,3.7525720000000007
21,63.0,51.0,70.0,74.0,3.7533899999999996
22,63.0,55.0,75.0,80.0,3.7542050000000007
23,63.0,56.0,71.0,79.0,3.755032
24,61.0,56.0,70.0,79.0,3.7558489999999995
25,66.0,57.0,72.0,81.0,3.7566679999999995
26,67.0,50.0,73.0,77.0,3.7574830000000006
27,57.0,55.0,68.0,72.0,3.758349000000001
28,65.0,51.0,71.0,77.0,3.759202
29,66.0,54.0,71.0,82.0,3.7600180000000005
30,63.0,50.0,74.0,77.0,3.760835
31,73.0,55.0,80.0,83.0,3.7616510000000005
32,63.0,51.0,71.0,78.0,3.7624709999999997
33,65.0,53.0,72.0,79.0,3.7632879999999993
34,67.0,56.0,74.0,83.0,3.7641050000000007
35,70.0,50.0,74.0,84.0,3.7649229999999996
36,61.0,51.0,69.0,74.0,3.765732999999999
37,64.0,54.0,73.0,78.0,3.7665539999999993
38,61.0,53.0,68.0,74.0,3.7673679999999994
39,59.0,53.0,65.0,75.0,3.7681819999999995
40,67.0,54.0,72.0,82.0,3.7689939999999993
41,64.0,51.0,73.0,77.0,3.7698110000000007
42,62.0,51.0,74.0,73.0,3.770632000000001
43,64.0,59.0,71.0,77.0,3.7714490000000005
44,68.0,54.0,74.0,80.0,3.772264
45,70.0,54.0,79.0,82.0,3.7730759999999997
46,63.0,53.0,74.0,76.0,3.7739080000000005
47,59.0,52.0,67.0,74.0,3.7747740000000007
48,65.0,52.0,73.0,78.0,3.7756109999999996
49,66.0,55.0,72.0,77.0,3.776427
50,64.0,50.0,74.0,73.0,3.777241
51,63.0,51.0,70.0,71.0,3.778055
52,58.0,53.0,68.0,73.0,3.778873000000001
53,63.0,52.0,78.0,77.0,3.7796900000000004
54,66.0,54.0,71.0,80.0,3.780505
55,62.0,56.0,72.0,79.0,3.781319
56,62.0,52.0,69.0,73.0,3.7821350000000002
