fitness,num_div,each_div,coverage
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.019230769230769232
snac,1,800,0.0
snac,1,800,0.038461538461538464
snac,1,800,0.0
snac,1,800,0.019230769230769232
snac,1,800,0.019230769230769232
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.038461538461538464
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.019230769230769232
snac,1,800,0.038461538461538464
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.038461538461538464
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.0
snac,1,800,0.019230769230769232
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.0
snac,2,400,0.019230769230769232
snac,2,400,0.0
snac,2,400,0.0
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.019230769230769232
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,3,266,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.019230769230769232
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.019230769230769232
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.038461538461538464
snac,4,200,0.019230769230769232
snac,4,200,0.019230769230769232
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.019230769230769232
snac,4,200,0.0
snac,4,200,0.0
snac,4,200,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.038461538461538464
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.019230769230769232
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.0
snac,5,160,0.019230769230769232
snac,5,160,0.019230769230769232
snac,5,160,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.038461538461538464
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,6,133,0.0
snac,6,133,0.0
snac,6,133,0.019230769230769232
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.019230769230769232
snac,7,114,0.019230769230769232
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.019230769230769232
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.019230769230769232
snac,7,114,0.019230769230769232
snac,7,114,0.019230769230769232
snac,7,114,0.0
snac,7,114,0.038461538461538464
snac,7,114,0.019230769230769232
snac,7,114,0.019230769230769232
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,7,114,0.0
snac,8,100,0.0
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.019230769230769232
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.019230769230769232
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.038461538461538464
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.019230769230769232
snac,8,100,0.019230769230769232
snac,8,100,0.019230769230769232
snac,8,100,0.019230769230769232
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,8,100,0.0
snac,9,89,0.019230769230769232
