fitness,num_div,each_div,coverage
tknc,1,800,0.6923076923076923
tknc,1,800,0.5576923076923077
tknc,1,800,0.46153846153846156
tknc,1,800,0.46153846153846156
tknc,1,800,0.5
tknc,1,800,0.4807692307692308
tknc,1,800,0.46153846153846156
tknc,1,800,0.6538461538461539
tknc,1,800,0.5769230769230769
tknc,1,800,0.5384615384615384
tknc,1,800,0.6538461538461539
tknc,1,800,0.4230769230769231
tknc,1,800,0.46153846153846156
tknc,1,800,0.5384615384615384
tknc,1,800,0.5192307692307693
tknc,1,800,0.5384615384615384
tknc,1,800,0.4423076923076923
tknc,1,800,0.5
tknc,1,800,0.4807692307692308
tknc,1,800,0.6923076923076923
tknc,1,800,0.40384615384615385
tknc,1,800,0.5192307692307693
tknc,1,800,0.4423076923076923
tknc,1,800,0.5769230769230769
tknc,1,800,0.46153846153846156
tknc,1,800,0.46153846153846156
tknc,1,800,0.5
tknc,1,800,0.6153846153846154
tknc,1,800,0.5384615384615384
tknc,1,800,0.5192307692307693
tknc,2,400,0.6346153846153846
tknc,2,400,0.5769230769230769
tknc,2,400,0.6538461538461539
tknc,2,400,0.5576923076923077
tknc,2,400,0.5769230769230769
tknc,2,400,0.5192307692307693
tknc,2,400,0.5576923076923077
tknc,2,400,0.6153846153846154
tknc,2,400,0.5384615384615384
tknc,2,400,0.6923076923076923
tknc,2,400,0.6153846153846154
tknc,2,400,0.5961538461538461
tknc,2,400,0.7307692307692307
tknc,2,400,0.5576923076923077
tknc,2,400,0.6153846153846154
tknc,2,400,0.6923076923076923
tknc,2,400,0.5961538461538461
tknc,2,400,0.6923076923076923
tknc,2,400,0.6730769230769231
tknc,2,400,0.6538461538461539
tknc,2,400,0.6153846153846154
tknc,2,400,0.5961538461538461
tknc,2,400,0.4423076923076923
tknc,2,400,0.6346153846153846
tknc,2,400,0.6538461538461539
tknc,2,400,0.5576923076923077
tknc,2,400,0.6346153846153846
tknc,2,400,0.6923076923076923
tknc,2,400,0.6923076923076923
tknc,2,400,0.4807692307692308
tknc,3,266,0.6153846153846154
tknc,3,266,0.5
tknc,3,266,0.5961538461538461
tknc,3,266,0.7115384615384616
tknc,3,266,0.5961538461538461
tknc,3,266,0.6153846153846154
tknc,3,266,0.7115384615384616
tknc,3,266,0.6346153846153846
tknc,3,266,0.5961538461538461
tknc,3,266,0.5769230769230769
tknc,3,266,0.6346153846153846
tknc,3,266,0.5961538461538461
tknc,3,266,0.7307692307692307
tknc,3,266,0.6538461538461539
tknc,3,266,0.6923076923076923
tknc,3,266,0.5961538461538461
tknc,3,266,0.6923076923076923
tknc,3,266,0.7692307692307693
tknc,3,266,0.5961538461538461
tknc,3,266,0.5576923076923077
tknc,3,266,0.5769230769230769
tknc,3,266,0.5961538461538461
tknc,3,266,0.5576923076923077
tknc,3,266,0.6923076923076923
tknc,3,266,0.6153846153846154
tknc,3,266,0.6153846153846154
tknc,3,266,0.5769230769230769
tknc,3,266,0.6153846153846154
tknc,3,266,0.6153846153846154
tknc,3,266,0.6730769230769231
tknc,4,200,0.6153846153846154
tknc,4,200,0.6346153846153846
tknc,4,200,0.6538461538461539
tknc,4,200,0.6923076923076923
tknc,4,200,0.7115384615384616
tknc,4,200,0.6538461538461539
tknc,4,200,0.6730769230769231
tknc,4,200,0.7307692307692307
tknc,4,200,0.7115384615384616
tknc,4,200,0.6153846153846154
tknc,4,200,0.6730769230769231
tknc,4,200,0.6923076923076923
tknc,4,200,0.6153846153846154
tknc,4,200,0.6538461538461539
tknc,4,200,0.6153846153846154
tknc,4,200,0.6346153846153846
tknc,4,200,0.6538461538461539
tknc,4,200,0.6346153846153846
tknc,4,200,0.6923076923076923
tknc,4,200,0.7307692307692307
tknc,4,200,0.5769230769230769
tknc,4,200,0.6538461538461539
tknc,4,200,0.7307692307692307
tknc,4,200,0.6923076923076923
tknc,4,200,0.7307692307692307
tknc,4,200,0.7115384615384616
tknc,4,200,0.6538461538461539
tknc,4,200,0.7115384615384616
tknc,4,200,0.6538461538461539
tknc,4,200,0.6923076923076923
tknc,5,160,0.6538461538461539
tknc,5,160,0.7115384615384616
tknc,5,160,0.6538461538461539
tknc,5,160,0.6923076923076923
tknc,5,160,0.6346153846153846
tknc,5,160,0.7115384615384616
tknc,5,160,0.6923076923076923
tknc,5,160,0.75
tknc,5,160,0.6730769230769231
tknc,5,160,0.6538461538461539
tknc,5,160,0.5576923076923077
tknc,5,160,0.5384615384615384
tknc,5,160,0.7115384615384616
tknc,5,160,0.6538461538461539
tknc,5,160,0.6346153846153846
tknc,5,160,0.6730769230769231
tknc,5,160,0.7115384615384616
tknc,5,160,0.7692307692307693
tknc,5,160,0.6346153846153846
tknc,5,160,0.6923076923076923
tknc,5,160,0.5576923076923077
tknc,5,160,0.7307692307692307
tknc,5,160,0.7115384615384616
tknc,5,160,0.7115384615384616
tknc,5,160,0.5769230769230769
tknc,5,160,0.6923076923076923
tknc,5,160,0.5961538461538461
tknc,5,160,0.7307692307692307
tknc,5,160,0.6153846153846154
tknc,5,160,0.6923076923076923
tknc,6,133,0.7115384615384616
tknc,6,133,0.6153846153846154
tknc,6,133,0.6538461538461539
tknc,6,133,0.75
tknc,6,133,0.6730769230769231
tknc,6,133,0.6538461538461539
tknc,6,133,0.6538461538461539
tknc,6,133,0.7115384615384616
tknc,6,133,0.6538461538461539
tknc,6,133,0.7115384615384616
tknc,6,133,0.75
tknc,6,133,0.6923076923076923
tknc,6,133,0.5576923076923077
tknc,6,133,0.75
tknc,6,133,0.6923076923076923
tknc,6,133,0.75
tknc,6,133,0.7115384615384616
tknc,6,133,0.7307692307692307
tknc,6,133,0.6923076923076923
tknc,6,133,0.7692307692307693
tknc,6,133,0.6923076923076923
tknc,6,133,0.6730769230769231
tknc,6,133,0.6730769230769231
tknc,6,133,0.6923076923076923
tknc,6,133,0.6923076923076923
tknc,6,133,0.6730769230769231
tknc,6,133,0.6730769230769231
tknc,6,133,0.7307692307692307
tknc,6,133,0.6730769230769231
tknc,6,133,0.75
tknc,7,114,0.75
tknc,7,114,0.7307692307692307
tknc,7,114,0.75
tknc,7,114,0.75
tknc,7,114,0.7115384615384616
tknc,7,114,0.7115384615384616
tknc,7,114,0.7307692307692307
tknc,7,114,0.6538461538461539
tknc,7,114,0.6923076923076923
tknc,7,114,0.6538461538461539
